home team,away team,FTHG,FTAG,htHG,htAG,home formation,away formation,home line up,away line up,home subs,away subs,home coach,away coach,Referee,date,venue,home shots on target,away shots on target,home shots off target,away shots off target,home fouls,away fouls,home corners,away corners,home throws,away throws,result,home_ht_ft,away_ht_ft,home_double_chance,away_double_chance
Nottingham Forest,Manchester City,1,1,0,1,4-3-2-1,3-2-4-1,",Keylor Navas,Serge Aurier,Felipe,Joe Worrall,Renan Lodi,Remo Freuler,Jonjo Shelvey,Jack Colback,Morgan Gibbs-White,Danilo,Brennan Johnson",",Erling Haaland,Jack Grealish,Kevin De Bruyne,Ilkay Gundogan,Phil Foden,Rodri,Bernardo Silva,Aymeric Laporte,Ruben Dias,Kyle Walker,Ederson","Wayne Hennessey,Neco Williams,Harry Toffolo,Orel Mangala,Gustavo Scarpa,Sam Surridge,Emmanuel Dennis,Andre Ayew,Chris Wood","Stefan Ortega,Nathan Ake,Manuel Akanji,Rico Lewis,Kalvin Phillips,Sergio Gomez,Cole Palmer,Julian Alvarez,Riyad Mahrez",Steve Cooper,Josep Guardiola,Referee: Graham Scott (England),Feb 18,"Venue: City Ground, Nottingham",1,6,2,11,8,6,0,10,9,28,D,lost at ht and drew ft,won at ht and drew at ft,won either half,won either half
Wolverhampton Wanderers,AFC Bournemouth,0,1,0,0,4-2-3-1,4-2-3-1,",Jose Sa,Nelson Semedo,Craig Dawson,Max Kilman,Hugo Bueno,Matheus Nunes,Ruben Neves,Adama Traore,Joao Moutinho,Pablo Sarabia,Matheus Cunha",",Dominic Solanke,Marcus Tavernier,Hamed Junior Traoré,Dango Ouattara,Philip Billing,Jefferson Lerma,Jordan Zemura,Marcos Senesi,Jack Stephens,Adam Smith,Neto","Daniel Bentley,Rayan Ait-Nouri,Nathan Collins,Jonny Otto,Joao Gomes,Joe Hodge,Raul Jimenez,Daniel Podence,Diego Costa","Mark Travers,Ryan Fredericks,Chris Mepham,Matias Vina,Joe Rothwell,Ryan Christie,Kieffer Moore,Antoine Semenyo,Jaidon Anthony",Julen Lopetegui,Gary O'Neil,Referee: Michael Salisbury (England),Feb 18,Venue: Molineux Stadium,4,1,4,0,12,10,12,2,18,21,A,drew at ht and lost at ft,drew at ht and won at ft,didnt win either half,won either half
Newcastle United,Liverpool,0,2,0,2,4-3-3,4-3-3,",Nick Pope,Kieran Trippier,Fabian Schar,Sven Botman,Dan Burn,Sean Longstaff,Joelinton,Elliot Anderson,Miguel Almiron,Alexander Isak,Allan Saint-Maximin",",Cody Gakpo,Darwin Nunez,Mohamed Salah,Stefan Bajcetic,Fabinho,Jordan Henderson,Andy Robertson,Virgil Van Dijk,Joe Gomez,Trent Alexander-Arnold,Alisson","Martin Dubravka,Paul Dummett,Jamaal Lascelles,Jamal Lewis,Javi Manquillo,Anthony Gordon,Matt Ritchie,Jacob Murphy,Callum Wilson","Caoimhin Kelleher,Kostas Tsimikas,Joel Matip,Nathaniel Phillips,James Milner,Naby Keita,Harvey Elliott,Roberto Firmino,Diogo Jota",Eddie Howe,Jurgen Klopp,Referee: Anthony Taylor (England),Feb 18,Venue: St James' Park,4,7,7,3,3,8,6,7,15,14,A,lost at ht and ft,won at ht and won at ft,didnt win either half,won either half
Manchester United,Leicester City,3,0,1,0,4-2-3-1,4-2-3-1,",David De Gea,Diogo Dalot,Victor Lindelof,Lisandro Martinez,Luke Shaw,Fred,Marcel Sabitzer,Marcus Rashford,Bruno Fernandes,Alejandro Garnacho,Wout Weghorst",",Kelechi Iheanacho,Harvey Barnes,James Maddison,Tete,Nampalys Mendy,Kiernan Dewsbury-Hall,Victor Kristiansen,Wout Faes,Harry Souttar,Timothy Castagne,Danny Ward","Tom Heaton,Tyrell Malacia,Raphael Varane,Aaron Wan-Bissaka,Facundo Pellistri,Scott McTominay,Kobbie Mainoo,Jadon Sancho,Anthony Elanga","Daniel Iversen,Daniel Amartey,Ricardo Pereira,Youri Tielemans,Wilfred Ndidi,Dennis Praet,Boubakary Soumare,Jamie Vardy,Patson Daka",Erik ten Hag,Brendan Rodgers,Referee: Stuart Attwell (England),Feb 19,Venue: Old Trafford,8,3,9,9,9,9,6,6,17,15,H,won at ht and won at ft,lost at ht and ft,won both halves,didnt win either half
Tottenham Hotspur,West Ham United,2,0,0,0,3-4-2-1,3-4-2-1,",Fraser Forster,Cristian Romero,Eric Dier,Clement Lenglet,Emerson,Pierre Hojbjerg,Oliver Skipp,Ben Davies,Dejan Kulusevski,Richarlison,Harry Kane",",Michail Antonio,Jarrod Bowen,Flynn Downes,Emerson,Declan Rice,Tomas Soucek,Vladimir Coufal,Nayef Aguerd,Angelo Ogbonna,Thilo Kehrer,Lukasz Fabianski","Brandon Austin,Davinson Sanchez,Pedro Porro,Japhet Tanganga,Arnaut Danjuma,Lucas Moura,Pape Matar Sarr,Son Heung-min,Ivan Perisic","Alphonse Areola,Ben Johnson,Aaron Cresswell,Kaelan Casey,Pablo Fornals,Manuel Lanzini,Gianluca Scamacca,Danny Ings,Said Benrahma",Cristian Stellini,David Moyes,Referee: Michael Oliver (England),Feb 19,Venue: Tottenham Hotspur Stadium,6,1,4,4,16,10,4,7,13,18,H,drew at ht and won at ft,drew at ht and lost at ft,won either half,didnt win either half
Fulham,Wolverhampton Wanderers,1,1,0,1,4-2-3-1,4-3-3,",Bernd Leno,Kenny Tete,Issa Diop,Tim Ream,Antonee Robinson,Harrison Reed,Joao Palhinha,Bobby Reid,Andreas Pereira,Willian,Carlos Vinicius",",Matheus Cunha,Raul Jimenez,Pablo Sarabia,Mario Lemina,Ruben Neves,Matheus Nunes,Hugo Bueno,Max Kilman,Craig Dawson,Nelson Semedo,Jose Sa","Marek Rodak,Layvin Kurzawa,Tosin Adarabioyo,Shane Duffy,Cedric Soares,Manor Solomon,Sasa Lukic,Harry Wilson,Daniel James","Daniel Bentley,Rayan Ait-Nouri,Nathan Collins,Jonny Otto,Joao Moutinho,Joao Gomes,Daniel Podence,Diego Costa,Adama Traore",Marco Silva,Julen Lopetegui,Referee: Michael Oliver (England),Feb 24,Venue: Craven Cottage,5,2,3,4,12,17,3,3,30,22,D,lost at ht and drew ft,won at ht and drew at ft,won either half,won either half
Everton,Aston Villa,0,2,0,0,4-5-1,4-4-2,",Jordan Pickford,Seamus Coleman,Conor Coady,James Tarkowski,Vitaliy Mykolenko,Alex Iwobi,Abdoulaye Doucoure,Idrissa Gueye,Amadou Mvom Onana,Dwight McNeil,Neal Maupay",",Ollie Watkins,Leon Bailey,Jacob Ramsey,Boubacar Kamara,Douglas Luiz,John McGinn,Lucas Digne,Tyrone Mings,Ezri Konsa,Matty Cash,Emiliano Martinez","Asmir Begovic,Mason Holgate,Michael Keane,Yerry Mina,Ben Godfrey,Ruben Vinagre,Tom Davies,Demarai Gray,Ellis Reco Simms","Viljami Sinisalo,Oliwier Zych,Calum Chambers,Ashley Young,Emiliano Buendia,Alex Moreno,Jhon Duran,Leander Dendoncker,Bertrand Traore",Sean Dyche,Unai Emery,Referee: Anthony Taylor (England),Feb 25,Venue: Goodison Park,5,5,5,4,12,12,5,1,22,23,A,drew at ht and lost at ft,drew at ht and won at ft,didnt win either half,won either half
Leeds United,Southampton,1,0,0,0,4-2-3-1,4-4-2,",Illan Meslier,Luke Ayling,Robin Koch,Maximilian Wober,Junior Firpo,Weston McKennie,Tyler Adams,Brenden Aaronson,Jack Harrison,Wilfried Gnonto,Patrick Bamford",",Paul Onuachu,Kamal-Deen Sulemana,Mohamed Elyounoussi,Romeo Lavia,James Ward-Prowse,Stuart Armstrong,Romain Perraud,Armel Bella-Kotchap,Jan Bednarek,Ainsley Maitland-Niles,Gavin Bazunu","Joel Robles,Rasmus Kristensen,Diogo Pinheiro Monteiro,Marc Roca,Crysencio Summerville,Darko Gyabi,Georginio Rutter,Sam Greenwood,Mateo Joseph Fernandez","Willy Caballero,Kyle Walker-Peters,Duje Caleta-Car,Moussa Djenepo,Carlos Jonas Alcaraz,Ibrahima Diallo,Adam Armstrong,Sekou Mara,Theo Walcott",Javier Gracia Carlos,Ruben Selles,Referee: Peter Bankes (England),Feb 25,Venue: Elland Road,4,2,5,2,15,13,9,2,24,16,H,drew at ht and won at ft,drew at ht and lost at ft,won either half,didnt win either half
Leicester City,Arsenal,0,1,0,0,4-3-3,4-3-3,",Danny Ward,Timothy Castagne,Harry Souttar,Wout Faes,Victor Kristiansen,Dennis Praet,Wilfred Ndidi,Kiernan Dewsbury-Hall,Tete,Kelechi Iheanacho,Harvey Barnes",",Gabriel Martinelli,Leandro Trossard,Bukayo Saka,Granit Xhaka,Jorginho,Martin Odegaard,Oleksandr Zinchenko,Gabriel Magalhaes,William Saliba,Ben White,Aaron Ramsdale","Daniel Iversen,Daniel Amartey,Ricardo Pereira,Luke Thomas,Youri Tielemans,Nampalys Mendy,Boubakary Soumare,Jamie Vardy,Patson Daka","Matt Turner,Kieran Tierney,Jakub Kiwior,Rob Holding,Takehiro Tomiyasu,Thomas Partey,Emile Smith-Rowe,Fabio Vieira,Eddie Nketiah",Brendan Rodgers,Mikel Arteta,Referee: Craig Pawson (England),Feb 25,Venue: King Power Stadium,0,2,1,3,14,9,0,8,20,17,A,drew at ht and lost at ft,drew at ht and won at ft,didnt win either half,won either half
West Ham United,Nottingham Forest,4,0,0,0,4-2-3-1,4-3-2-1,",Lukasz Fabianski,Vladimir Coufal,Angelo Ogbonna,Nayef Aguerd,Ben Johnson,Tomas Soucek,Declan Rice,Jarrod Bowen,Lucas Paqueta,Said Benrahma,Danny Ings",",Chris Wood,Morgan Gibbs-White,Brennan Johnson,Jack Colback,Jonjo Shelvey,Remo Freuler,Renan Lodi,Felipe,Joe Worrall,Neco Williams,Keylor Navas","Alphonse Areola,Aaron Cresswell,Thilo Kehrer,Emerson,Pablo Fornals,Manuel Lanzini,Flynn Downes,Gianluca Scamacca,Michail Antonio","Wayne Hennessey,Harry Toffolo,Orel Mangala,Jesse Lingard,Danilo,Gustavo Scarpa,Sam Surridge,Emmanuel Dennis,Andre Ayew",David Moyes,Steve Cooper,Referee: Jarred Gillett (Australia),Feb 25,Venue: London Stadium,5,3,8,3,8,5,12,3,15,18,H,drew at ht and won at ft,drew at ht and lost at ft,won either half,didnt win either half
AFC Bournemouth,Manchester City,1,4,0,3,5-4-1,4-2-3-1,",Neto,Adam Smith,Chris Mepham,Jack Stephens,Marcos Senesi,Jordan Zemura,Dango Ouattara,Jefferson Lerma,Philip Billing,Hamed Junior Traoré,Dominic Solanke",",Erling Haaland,Jack Grealish,Julian Alvarez,Phil Foden,Rodri,Ilkay Gundogan,Nathan Ake,Ruben Dias,Manuel Akanji,Rico Lewis,Ederson","Mark Travers,Darren Randolph,Ryan Fredericks,Jack Stacey,Joe Rothwell,Ryan Christie,Kieffer Moore,Antoine Semenyo,Jaidon Anthony","Stefan Ortega,Scott Carson,Kyle Walker,Kalvin Phillips,Kevin De Bruyne,Bernardo Silva,Sergio Gomez,Maximo Perrone,Riyad Mahrez",Gary O'Neil,Josep Guardiola,Referee: Paul Tierney (England),Feb 25,Venue: Vitality Stadium,2,5,5,7,10,9,4,6,15,10,A,lost at ht and ft,won at ht and won at ft,didnt win either half,won either half
Crystal Palace,Liverpool,0,0,0,0,4-2-3-1,4-3-3,",Vicente Guaita,Nathaniel Clyne,Joachim Andersen,Marc Guehi,Tyrick Mitchell,Cheick Oumar Doucoure,Albert Sambi Lokonga,Michael Olise,Jordan Ayew,Jeffrey Schlupp,Jean-Philippe Mateta",",Diogo Jota,Cody Gakpo,Mohamed Salah,James Milner,Jordan Henderson,Naby Keita,Andy Robertson,Virgil Van Dijk,Joel Matip,Trent Alexander-Arnold,Alisson","Joe Whitworth,Joel Ward,Chris Richards,Luka Milivojevic,Eberechi Eze,James McArthur,Will Hughes,Naouirou Ahamada,Odsonne Edouard","Caoimhin Kelleher,Kostas Tsimikas,Stefan Bajcetic,Rhys Williams,Fabinho,Curtis Jones,Harvey Elliott,Fabio Carvalho,Roberto Firmino",Patrick Vieira,Jurgen Klopp,Referee: Darren England (England),Feb 25,Venue: Selhurst Park,0,4,4,5,11,14,5,3,22,23,D,drew at ht and ft,drew at ht and ft,didnt win either half,didnt win either half
Tottenham Hotspur,Chelsea,2,0,0,0,3-4-2-1,4-2-3-1,",Fraser Forster,Cristian Romero,Eric Dier,Clement Lenglet,Emerson,Oliver Skipp,Pierre Hojbjerg,Ben Davies,Dejan Kulusevski,Richarlison,Harry Kane",",Kai Havertz,Raheem Sterling,Joao Felix,Hakim Ziyech,Enzo Fernandez,Ruben Loftus-Cheek,Ben Chilwell,Kalidou Koulibaly,Thiago Silva,Reece James,Kepa Arrizabalaga","Brandon Austin,Davinson Sanchez,Pedro Porro,Japhet Tanganga,Arnaut Danjuma,Lucas Moura,Pape Matar Sarr,Son Heung-min,Ivan Perisic","Marcus Bettinelli,Benoit Badiashile,Wesley Fofana,Mason Mount,Denis Zakaria,Conor Gallagher,Pierre-Emerick Aubameyang,Mykhailo Mudryk,Noni Madueke",Cristian Stellini,Graham Potter,Referee: Stuart Attwell (England),Feb 26,Venue: Tottenham Hotspur Stadium,3,2,4,5,10,9,4,4,13,18,H,drew at ht and won at ft,drew at ht and lost at ft,won either half,didnt win either half
Arsenal,Everton,4,0,2,0,4-3-3,4-3-2-1,",Aaron Ramsdale,Ben White,William Saliba,Gabriel Magalhaes,Oleksandr Zinchenko,Martin Odegaard,Jorginho,Granit Xhaka,Bukayo Saka,Leandro Trossard,Gabriel Martinelli",",Neal Maupay,Dwight McNeil,Alex Iwobi,Amadou Mvom Onana,Idrissa Gueye,Abdoulaye Doucoure,Vitaliy Mykolenko,James Tarkowski,Michael Keane,Seamus Coleman,Jordan Pickford","Matt Turner,Kieran Tierney,Jakub Kiwior,Rob Holding,Takehiro Tomiyasu,Thomas Partey,Emile Smith-Rowe,Fabio Vieira,Eddie Nketiah","Asmir Begovic,Mason Holgate,Yerry Mina,Ben Godfrey,Ruben Vinagre,Conor Coady,Tom Davies,Demarai Gray,Ellis Reco Simms",Mikel Arteta,Sean Dyche,Referee: Michael Oliver (England),Mar 1,Venue: Emirates Stadium,5,5,5,2,5,12,5,1,22,11,H,won at ht and won at ft,lost at ht and ft,won both halves,didnt win either half
Liverpool,Wolverhampton Wanderers,2,0,0,0,4-3-3,4-2-3-1,",Alisson,Trent Alexander-Arnold,Ibrahima Konate,Virgil Van Dijk,Kostas Tsimikas,Harvey Elliott,Fabinho,Stefan Bajcetic,Mohamed Salah,Diogo Jota,Darwin Nunez",",Raul Jimenez,Matheus Nunes,Joao Moutinho,Pablo Sarabia,Mario Lemina,Ruben Neves,Hugo Bueno,Max Kilman,Craig Dawson,Nelson Semedo,Jose Sa","Caoimhin Kelleher,Andy Robertson,Joel Matip,James Milner,Jordan Henderson,Alex Oxlade-Chamberlain,Fabio Carvalho,Roberto Firmino,Cody Gakpo","Daniel Bentley,Rayan Ait-Nouri,Nathan Collins,Jonny Otto,Joao Gomes,Pedro Neto,Daniel Podence,Diego Costa,Adama Traore",Jurgen Klopp,Julen Lopetegui,Referee: Paul Tierney (England),Mar 1,Venue: Anfield,6,1,5,2,13,14,5,2,27,22,H,drew at ht and won at ft,drew at ht and lost at ft,won either half,didnt win either half
Manchester City,Newcastle United,2,0,1,0,4-2-3-1,4-3-3,",Ederson,Kyle Walker,Manuel Akanji,Ruben Dias,Nathan Ake,Ilkay Gundogan,Rodri,Phil Foden,Kevin De Bruyne,Jack Grealish,Erling Haaland",",Anthony Gordon,Callum Wilson,Miguel Almiron,Joelinton,Bruno Guimaraes,Sean Longstaff,Dan Burn,Sven Botman,Jamaal Lascelles,Kieran Trippier,Nick Pope","Stefan Ortega,John Stones,Aymeric Laporte,Rico Lewis,Kalvin Phillips,Bernardo Silva,Cole Palmer,Julian Alvarez,Riyad Mahrez","Martin Dubravka,Matt Targett,Javi Manquillo,Matt Ritchie,Jacob Murphy,Joseph Willock,Elliot Anderson,Allan Saint-Maximin,Alexander Isak",Josep Guardiola,Eddie Howe,Referee: Simon Hooper (England),Mar 4,Venue: Etihad Stadium,3,2,6,1,8,13,8,4,17,17,H,won at ht and won at ft,lost at ht and ft,won both halves,didnt win either half
Arsenal,AFC Bournemouth,3,2,0,1,4-3-3,5-4-1,",Aaron Ramsdale,Takehiro Tomiyasu,William Saliba,Gabriel Magalhaes,Oleksandr Zinchenko,Martin Odegaard,Thomas Partey,Fabio Vieira,Bukayo Saka,Leandro Trossard,Gabriel Martinelli",",Dominic Solanke,Antoine Semenyo,Philip Billing,Joe Rothwell,Dango Ouattara,Jordan Zemura,Marcos Senesi,Jack Stephens,Chris Mepham,Adam Smith,Neto","Matt Turner,Kieran Tierney,Ben White,Jakub Kiwior,Rob Holding,Emile Smith-Rowe,Jorginho,Granit Xhaka,Reiss Nelson","Mark Travers,Darren Randolph,Ryan Fredericks,Jack Stacey,Lewis Cook,Ryan Christie,Kieffer Moore,Jaidon Anthony,Euan Pollock",Mikel Arteta,Gary O'Neil,Referee: Chris Kavanagh (England),Mar 4,Venue: Emirates Stadium,9,4,10,0,6,8,17,1,10,12,H,lost at ht and won at ft,won at ht and lost at ft,won either half,won either half
Aston Villa,Crystal Palace,1,0,1,0,4-2-3-1,4-2-3-1,",Emiliano Martinez,Matty Cash,Ezri Konsa,Tyrone Mings,Alex Moreno,Douglas Luiz,Boubacar Kamara,Emiliano Buendia,John McGinn,Jacob Ramsey,Ollie Watkins",",Wilfried Zaha,Eberechi Eze,Jordan Ayew,Michael Olise,Albert Sambi Lokonga,Cheick Oumar Doucoure,Tyrick Mitchell,Marc Guehi,Joachim Andersen,Nathaniel Clyne,Vicente Guaita","Robin Olsen,Viljami Sinisalo,Calum Chambers,Ashley Young,Lucas Digne,Jhon Duran,Leon Bailey,Bertrand Traore,","Joe Whitworth,Joel Ward,Chris Richards,Luka Milivojevic,James McArthur,Will Hughes,Naouirou Ahamada,Jean-Philippe Mateta,Odsonne Edouard",Unai Emery,Patrick Vieira,Referee: Craig Pawson (England),Mar 4,Venue: Villa Park,1,0,4,2,14,17,2,4,18,15,H,won at ht and won at ft,lost at ht and ft,won either half,didnt win either half
Brighton & Hove Albion,West Ham United,4,0,1,0,4-2-3-1,4-3-3,",Jason Steele,Tariq Lamptey,Adam Webster,Lewis Dunk,Pervis Estupinan,Pascal Gross,Moisés Caicedo,Solly March,Alexis MacAllister,Kaoru Mitoma,Evan Ferguson",",Said Benrahma,Danny Ings,Jarrod Bowen,Lucas Paqueta,Declan Rice,Tomas Soucek,Emerson,Angelo Ogbonna,Nayef Aguerd,Ben Johnson,Alphonse Areola","Robert Sanchez,Jan Paul Van Hecke,Joel Veltman,Jeremy Sarmiento,Billy Gilmour,Facundo Valentin Buonanotte,Danny Welbeck,Julio Cesar Enciso,Deniz Undav","Krisztian Hegyi,Joseph Tetteh Anang,Aaron Cresswell,Kurt Zouma,Pablo Fornals,Manuel Lanzini,Flynn Downes,Gianluca Scamacca,",Andrea Maldera,David Moyes,Referee: Stuart Attwell (England),Mar 4,Venue: The American Express Community Stadium,9,2,7,0,6,8,7,3,18,18,H,won at ht and won at ft,lost at ht and ft,won both halves,didnt win either half
Chelsea,Leeds United,1,0,0,0,3-4-3,4-2-3-1,",Kepa Arrizabalaga,Wesley Fofana,Kalidou Koulibaly,Benoit Badiashile,Ruben Loftus-Cheek,Mateo Kovacic,Enzo Fernandez,Ben Chilwell,Raheem Sterling,Kai Havertz,Joao Felix",",Georginio Rutter,Jack Harrison,Brenden Aaronson,Crysencio Summerville,Weston McKennie,Tyler Adams,Junior Firpo,Maximilian Wober,Robin Koch,Luke Ayling,Illan Meslier","Marcus Bettinelli,Trevoh Chalobah,Denis Zakaria,Hakim Ziyech,Conor Gallagher,Carney Chukwuemeka,Pierre-Emerick Aubameyang,Mykhailo Mudryk,Noni Madueke","Joel Robles,Pascal Struijk,Rasmus Kristensen,Marc Roca,Darko Gyabi,Archie Gray,Wilfried Gnonto,Sam Greenwood,Mateo Joseph Fernandez",Graham Potter,Javier Gracia Carlos,Referee: Michael Oliver (England),Mar 4,Venue: Stamford Bridge,3,2,8,6,10,7,5,7,14,16,H,drew at ht and won at ft,drew at ht and lost at ft,won either half,didnt win either half
Wolverhampton Wanderers,Tottenham Hotspur,1,0,0,0,4-2-3-1,3-4-2-1,",Jose Sa,Nelson Semedo,Craig Dawson,Max Kilman,Jonny Otto,Ruben Neves,Mario Lemina,Pablo Sarabia,Matheus Nunes,Pedro Neto,Diego Costa",",Harry Kane,Son Heung-min,Dejan Kulusevski,Ivan Perisic,Oliver Skipp,Pierre Hojbjerg,Pedro Porro,Ben Davies,Clement Lenglet,Cristian Romero,Fraser Forster","Daniel Bentley,Rayan Ait-Nouri,Nathan Collins,Toti Gomes,Joao Moutinho,Joao Gomes,Raul Jimenez,Matheus Cunha,Adama Traore","Brandon Austin,Davinson Sanchez,Emerson,Eric Dier,Japhet Tanganga,Arnaut Danjuma,Lucas Moura,Pape Matar Sarr,Richarlison",Julen Lopetegui,Cristian Stellini,Referee: Tim Robinson (England),Mar 4,Venue: Molineux Stadium,5,6,2,4,11,18,4,8,11,22,H,drew at ht and won at ft,drew at ht and lost at ft,won either half,didnt win either half
Southampton,Leicester City,1,0,1,0,4-4-2,4-2-3-1,",Gavin Bazunu,Ainsley Maitland-Niles,Jan Bednarek,Armel Bella-Kotchap,Kyle Walker-Peters,Carlos Jonas Alcaraz,James Ward-Prowse,Romeo Lavia,Kamal-Deen Sulemana,Che Adams,Theo Walcott",",Kelechi Iheanacho,Harvey Barnes,James Maddison,Tete,Nampalys Mendy,Kiernan Dewsbury-Hall,Timothy Castagne,Wout Faes,Harry Souttar,Ricardo Pereira,Danny Ward","Willy Caballero,Romain Perraud,Mohammed Salisu,Stuart Armstrong,Moussa Djenepo,Adam Armstrong,Paul Onuachu,Sekou Mara,Mohamed Elyounoussi","Daniel Iversen,Caglar Soyuncu,Daniel Amartey,Luke Thomas,Wilfred Ndidi,Dennis Praet,Boubakary Soumare,Jamie Vardy,Patson Daka",Ruben Selles,Brendan Rodgers,Referee: Robert Jones (England),Mar 4,Venue: St. Mary's Stadium,5,0,2,8,12,11,3,4,20,24,H,won at ht and won at ft,lost at ht and ft,won either half,didnt win either half
Nottingham Forest,Everton,2,2,1,2,4-3-2-1,4-5-1,",Keylor Navas,Serge Aurier,Joe Worrall,Felipe,Renan Lodi,Remo Freuler,Jonjo Shelvey,Jack Colback,Brennan Johnson,Morgan Gibbs-White,Chris Wood",",Demarai Gray,Dwight McNeil,Amadou Mvom Onana,Idrissa Gueye,Abdoulaye Doucoure,Alex Iwobi,Ben Godfrey,James Tarkowski,Michael Keane,Seamus Coleman,Jordan Pickford","Wayne Hennessey,Neco Williams,Harry Toffolo,Orel Mangala,Jesse Lingard,Ryan Yates,Sam Surridge,Emmanuel Dennis,Andre Ayew","Asmir Begovic,Mason Holgate,Yerry Mina,Ruben Vinagre,Conor Coady,Tom Davies,James Garner,Neal Maupay,Ellis Reco Simms",Steve Cooper,Sean Dyche,Referee: John Brooks (England),Mar 5,"Venue: City Ground, Nottingham",4,3,2,2,11,17,3,3,27,20,D,lost at ht and drew ft,won at ht and drew at ft,won either half,won either half
Liverpool,Manchester United,7,0,1,0,4-3-3,4-2-3-1,",Alisson,Trent Alexander-Arnold,Ibrahima Konate,Virgil Van Dijk,Andy Robertson,Jordan Henderson,Fabinho,Harvey Elliott,Mohamed Salah,Cody Gakpo,Darwin Nunez",",Wout Weghorst,Marcus Rashford,Bruno Fernandes,Antony,Fred,Casemiro,Luke Shaw,Lisandro Martinez,Raphael Varane,Diogo Dalot,David De Gea","Caoimhin Kelleher,Kostas Tsimikas,Joel Matip,Stefan Bajcetic,James Milner,Curtis Jones,Fabio Carvalho,Roberto Firmino,Diogo Jota","Tom Heaton,Harry Maguire,Tyrell Malacia,Aaron Wan-Bissaka,Marcel Sabitzer,Scott McTominay,Jadon Sancho,Anthony Elanga,Alejandro Garnacho",Jurgen Klopp,Erik ten Hag,Referee: Andrew Madley (England),Mar 5,Venue: Anfield,8,4,5,3,13,14,4,3,20,22,H,won at ht and won at ft,lost at ht and ft,won both halves,didnt win either half
Brentford,Fulham,3,2,1,1,4-3-3,4-2-3-1,",David Raya,Aaron Hickey,Ethan Pinnock,Ben Mee,Rico Henry,Mikkel Damsgaard,Christian Norgaard,Mathias Jensen,Bryan Mbeumo,Ivan Toney,Yoane Wissa",",Aleksandar Mitrovic,Manor Solomon,Andreas Pereira,Willian,Sasa Lukic,Harrison Reed,Antonee Robinson,Tim Ream,Issa Diop,Kenny Tete,Bernd Leno","Matthew Cox,Pontus Jansson,Kristoffer Ajer,Mads Roerslev Rasmussen,Josh Dasilva,Frank Onyeka,Shandon Baptiste,Vitaly Janelt,Kevin Schade","Marek Rodak,George Wickens,Tosin Adarabioyo,Cedric Soares,Luke Bernard Harris,Harry Wilson,Bobby Reid,Daniel James,Carlos Vinicius",Thomas Frank,Marco Silva,Referee: Anthony Taylor (England),Mar 6,Venue: Gtech Community Stadium,6,5,6,5,12,17,2,3,21,22,H,drew at ht and won at ft,drew at ht and lost at ft,won either half,didnt win either half
AFC Bournemouth,Liverpool,1,0,1,0,4-4-1-1,4-3-3,",Neto,Adam Smith,Jack Stephens,Marcos Senesi,Lloyd Kelly,Dango Ouattara,Jefferson Lerma,Philip Billing,Jaidon Anthony,Joe Rothwell,Dominic Solanke",",Darwin Nunez,Cody Gakpo,Mohamed Salah,Stefan Bajcetic,Fabinho,Harvey Elliott,Andy Robertson,Virgil Van Dijk,Ibrahima Konate,Trent Alexander-Arnold,Alisson","Mark Travers,Ryan Fredericks,Chris Mepham,Matias Vina,Lewis Cook,David Brooks,Ryan Christie,Kieffer Moore,Antoine Semenyo","Adrian,Kostas Tsimikas,Joel Matip,James Milner,Jordan Henderson,Fabio Carvalho,Arthur Melo,Roberto Firmino,Diogo Jota",Gary O'Neil,Jurgen Klopp,Referee: John Brooks (England),Mar 11,Venue: Vitality Stadium,2,6,3,6,7,9,3,8,21,36,H,won at ht and won at ft,lost at ht and ft,won either half,didnt win either half
Everton,Brentford,1,0,1,0,4-5-1,4-3-3,",Jordan Pickford,Seamus Coleman,Michael Keane,James Tarkowski,Ben Godfrey,Alex Iwobi,Abdoulaye Doucoure,Idrissa Gueye,Amadou Mvom Onana,Dwight McNeil,Demarai Gray",",Mikkel Damsgaard,Ivan Toney,Bryan Mbeumo,Mathias Jensen,Christian Norgaard,Vitaly Janelt,Rico Henry,Ben Mee,Ethan Pinnock,Aaron Hickey,David Raya","Asmir Begovic,Mason Holgate,Yerry Mina,Vitaliy Mykolenko,Conor Coady,Tom Davies,James Garner,Neal Maupay,Ellis Reco Simms","Matthew Cox,Pontus Jansson,Kristoffer Ajer,Josh Dasilva,Yoane Wissa,Frank Onyeka,Shandon Baptiste,Kevin Schade,Saman Ghoddos",Sean Dyche,Thomas Frank,Referee: Simon Hooper (England),Mar 11,Venue: Goodison Park,6,4,6,6,11,12,5,8,9,27,H,won at ht and won at ft,lost at ht and ft,won either half,didnt win either half
